Date,陽性者数,(TOTAL)陽性者数
2020/1/14,1,1
2020/1/15,0,1
2020/1/16,0,1
2020/1/17,1,2
2020/1/18,0,2
2020/1/19,0,2
2020/1/20,2,4
2020/1/21,0,4
2020/1/22,1,5
2020/1/23,2,7
2020/1/24,1,8
2020/1/25,0,8
2020/1/26,1,9
2020/1/27,0,9
2020/1/28,1,10
2020/1/29,1,11
2020/1/30,0,11
2020/1/31,0,11
2020/2/1,1,12
2020/2/2,2,14
2020/2/3,2,16
2020/2/4,1,17
2020/2/5,1,18
2020/2/6,1,19
2020/2/7,2,21
2020/2/8,0,21
2020/2/9,0,21
2020/2/10,4,25
2020/2/11,0,25
2020/2/12,1,26
2020/2/13,0,26
2020/2/14,1,27
2020/2/15,0,27
2020/2/16,0,27
2020/2/17,0,27
2020/2/18,1,28
2020/2/19,0,28
2020/2/20,3,31
2020/2/21,0,31
2020/2/22,0,31
2020/2/23,1,32
2020/2/24,2,34
2020/2/25,3,37
2020/2/26,2,39
2020/2/27,2,41
2020/2/28,3,44
2020/2/29,0,44
2020/3/1,2,46
2020/3/2,1,47
2020/3/3,5,52
2020/3/4,3,55
2020/3/5,1,56
2020/3/6,6,62
2020/3/7,2,64
2020/3/8,4,68
2020/3/9,4,72
2020/3/10,9,81
2020/3/11,3,84
2020/3/12,7,91
2020/3/13,6,97
2020/3/14,6,103
2020/3/15,14,117
2020/3/16,17,134
2020/3/17,18,152
2020/3/18,23,175
2020/3/19,25,200
2020/3/20,34,234
2020/3/21,18,252
2020/3/22,36,288
2020/3/23,61,349
2020/3/24,47,396
2020/3/25,63,459
2020/3/26,67,526
2020/3/27,91,617
2020/3/28,95,712
2020/3/29,99,811
2020/3/30,158,969
2020/3/31,106,1075
2020/4/1,158,1233
2020/4/2,121,1354
2020/4/3,164,1518
2020/4/4,149,1667
2020/4/5,118,1785
2020/4/6,137,1922
2020/4/7,125,2047
2020/4/8,100,2147
2020/4/9,78,2225
2020/4/10,124,2349
2020/4/11,89,2438
2020/4/12,69,2507
2020/4/13,87,2594
2020/4/14,63,2657
2020/4/15,61,2718
2020/4/16,64,2782
2020/4/17,58,2840
2020/4/18,52,2892
2020/4/19,40,2932
2020/4/20,53,2985
2020/4/21,43,3028
2020/4/22,41,3069
2020/4/23,30,3099
2020/4/24,28,3127
2020/4/25,33,3160
2020/4/26,23,3183
2020/4/27,28,3211
2020/4/28,32,3243
2020/4/29,34,3277
2020/4/30,17,3294
2020/5/1,25,3319
2020/5/2,15,3334
2020/5/3,21,3355
2020/5/4,16,3371
2020/5/5,11,3382
2020/5/6,7,3389
2020/5/7,5,3394
2020/5/8,5,3399
2020/5/9,6,3405
2020/5/10,5,3410
2020/5/11,3,3413
2020/5/12,5,3418
2020/5/13,4,3422
2020/5/14,3,3425
2020/5/15,6,3431
2020/5/16,7,3438
2020/5/17,4,3442
2020/5/18,5,3447
2020/5/19,5,3452
2020/5/20,9,3461
2020/5/21,5,3466
2020/5/22,7,3473
2020/5/23,10,3483
2020/5/24,15,3498
2020/5/25,7,3505
2020/5/26,19,3524
2020/5/27,13,3537
2020/5/28,21,3558
2020/5/29,13,3571
2020/5/30,10,3581
2020/5/31,13,3594
2020/6/1,14,3608
2020/6/2,13,3621
2020/6/3,12,3633
2020/6/4,21,3654
2020/6/5,15,3669
2020/6/6,20,3689
2020/6/7,14,3703
2020/6/8,23,3726
2020/6/9,17,3743
2020/6/10,31,3774
2020/6/11,19,3793
2020/6/12,24,3817
2020/6/13,17,3834
2020/6/14,26,3860
2020/6/15,22,3882
2020/6/16,33,3915
2020/6/17,29,3944
2020/6/18,24,3968
2020/6/19,25,3993
2020/6/20,49,4042
2020/6/21,33,4075
2020/6/22,47,4122
2020/6/23,58,4180
2020/6/24,57,4237
2020/6/25,42,4279
2020/6/26,46,4325
2020/6/27,66,4391
2020/6/28,65,4456
2020/6/29,88,4544
2020/6/30,115,4659
2020/7/1,123,4782
2020/7/2,103,4885
2020/7/3,108,4993
2020/7/4,103,5096
2020/7/5,103,5199
2020/7/6,169,5368
2020/7/7,152,5520
2020/7/8,133,5653
2020/7/9,151,5804
2020/7/10,161,5965
2020/7/11,167,6132
2020/7/12,168,6300
2020/7/13,184,6484
2020/7/14,164,6648
2020/7/15,155,6803
2020/7/16,169,6972
2020/7/17,151,7123
2020/7/18,165,7288
2020/7/19,173,7461
2020/7/20,211,7672
2020/7/21,184,7856
2020/7/22,189,8045
2020/7/23,158,8203
2020/7/24,176,8379
2020/7/25,180,8559
2020/7/26,224,8783
2020/7/27,219,9002
2020/7/28,230,9232
2020/7/29,200,9432
2020/7/30,193,9625
2020/7/31,186,9811
2020/8/1,231,10042
2020/8/2,200,10242
2020/8/3,234,10476
2020/8/4,223,10699
2020/8/5,183,10882
2020/8/6,130,11012
2020/8/7,163,11175
2020/8/8,140,11315
2020/8/9,141,11456
2020/8/10,177,11633
2020/8/11,179,11812
2020/8/12,157,11969
2020/8/13,137,12106
2020/8/14,145,12251
2020/8/15,165,12416
2020/8/16,135,12551
2020/8/17,159,12710
2020/8/18,126,12836
2020/8/19,114,12950
2020/8/20,106,13056
2020/8/21,89,13145
2020/8/22,118,13263
2020/8/23,90,13353
2020/8/24,123,13476
2020/8/25,123,13599
2020/8/26,93,13692
2020/8/27,88,13780
2020/8/28,86,13866
2020/8/29,91,13957
2020/8/30,68,14025
2020/8/31,96,14121
2020/9/1,114,14235
2020/9/2,88,14323
2020/9/3,92,14415
2020/9/4,108,14523
2020/9/5,103,14626
2020/9/6,88,14714
2020/9/7,100,14814
2020/9/8,107,14921
2020/9/9,106,15027
2020/9/10,91,15118
2020/9/11,67,15185
2020/9/12,97,15282
2020/9/13,74,15356
2020/9/14,130,15486
2020/9/15,93,15579
2020/9/16,93,15672
2020/9/17,94,15766
2020/9/18,76,15842
2020/9/19,65,15907
2020/9/20,72,15979
2020/9/21,97,16076
2020/9/22,113,16189
2020/9/23,108,16297
2020/9/24,104,16401
2020/9/25,108,16509
2020/9/26,95,16604
2020/9/27,83,16687
2020/9/28,112,16799
2020/9/29,106,16905
2020/9/30,85,16990
2020/10/1,128,17118
2020/10/2,98,17216
2020/10/3,99,17315
2020/10/4,91,17406
2020/10/5,108,17514
2020/10/6,112,17626
2020/10/7,113,17739
2020/10/8,138,17877
2020/10/9,118,17995
