開始日,終了日,コロナ検索動向,デルタ検索動向,オミクロン検索動向
2021/1/25,2021/1/31,57,13,0
2021/2/1,2021/2/7,49,11,0
2021/2/8,2021/2/14,39,10,0
2021/2/15,2021/2/21,36,12,0
2021/2/22,2021/2/28,30,13,0
2021/3/1,2021/3/7,29,10,0
2021/3/8,2021/3/14,29,11,0
2021/3/15,2021/3/21,30,12,0
2021/3/22,2021/3/28,33,10,0
2021/3/29,2021/4/4,40,10,0
2021/4/5,2021/4/11,46,9,0
2021/4/12,2021/4/18,54,12,0
2021/4/19,2021/4/25,66,13,0
2021/4/26,2021/5/2,66,15,0
2021/5/3,2021/5/9,67,14,0
2021/5/10,2021/5/16,81,14,0
2021/5/17,2021/5/23,70,14,0
2021/5/24,2021/5/30,59,11,0
2021/5/31,2021/6/6,50,14,0
2021/6/7,2021/6/13,43,19,0
2021/6/14,2021/6/20,42,17,0
2021/6/21,2021/6/27,42,39,0
2021/6/28,2021/7/4,42,48,0
2021/7/5,2021/7/11,42,40,0
2021/7/12,2021/7/18,46,44,0
2021/7/19,2021/7/25,47,36,0
2021/7/26,2021/8/1,65,46,0
2021/8/2,2021/8/8,79,96,0
2021/8/9,2021/8/15,78,85,0
2021/8/16,2021/8/22,100,100,0
2021/8/23,2021/8/29,97,84,0
2021/8/30,2021/9/5,79,58,0
2021/9/6,2021/9/12,63,28,0
2021/9/13,2021/9/19,50,30,0
2021/9/20,2021/9/26,40,28,0
2021/9/27,2021/10/3,35,23,0
2021/10/4,2021/10/10,29,22,0
2021/10/11,2021/10/17,26,22,0
2021/10/18,2021/10/24,24,21,0
2021/10/25,2021/10/31,22,20,0
2021/11/1,2021/11/7,20,16,0
2021/11/8,2021/11/14,18,15,0
2021/11/15,2021/11/21,17,15,0
2021/11/22,2021/11/28,16,17,10
2021/11/29,2021/12/5,16,22,100
2021/12/6,2021/12/12,14,15,29
2021/12/13,2021/12/19,14,12,37
2021/12/20,2021/12/26,17,16,48
2021/12/27,2022/1/2,18,14,38
2022/1/3,2022/1/9,39,17,66
2022/1/10,2022/1/16,63,29,83
